company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ADANIENT,2013-03,+,-,-,Shareholder Returns
ADANIENT,2014-03,+,-,-,Shareholder Returns
ADANIENT,2015-03,+,-,-,Shareholder Returns
ADANIENT,2016-03,+,-,-,Reinvestor
ADANIENT,2017-03,+,-,-,Reinvestor
ADANIENT,2018-03,+,-,-,Shareholder Returns
ADANIENT,2019-03,+,-,-,Shareholder Returns
ADANIENT,2020-03,+,-,-,Reinvestor
ADANIENT,2021-03,+,-,-,Shareholder Returns
ADANIENT,2023-03,+,-,+,Mixed
ADANIENT,2024-03,+,-,-,Shareholder Returns
ADANIGREEN,2011-03,+,-,-,Shareholder Returns
ADANIGREEN,2012-03,+,-,-,Shareholder Returns
ADANIGREEN,2013-03,+,-,-,Shareholder Returns
ADANIGREEN,2014-03,+,-,-,Shareholder Returns
ADANIGREEN,2015-03,+,-,-,Shareholder Returns
ADANIGREEN,2016-03,+,-,-,Shareholder Returns
ADANIGREEN,2017-03,+,-,-,Shareholder Returns
ADANIGREEN,2018-03,+,-,-,Shareholder Returns
ADANIGREEN,2019-03,+,-,-,Shareholder Returns
ADANIGREEN,2020-03,+,-,-,Shareholder Returns
ADANIGREEN,2021-03,+,-,-,Shareholder Returns
ADANIGREEN,2022-03,+,-,-,Shareholder Returns
ADANIGREEN,2023-03,+,-,-,Shareholder Returns
ADANIGREEN,2024-03,+,-,-,Reinvestor
ADANIPORTS,2011-03,+,-,-,Shareholder Returns
ADANIPORTS,2012-03,+,-,-,Reinvestor
ADANIPORTS,2013-03,+,-,-,Shareholder Returns
ADANIPORTS,2014-03,+,-,-,Shareholder Returns
ADANIPORTS,2015-03,+,-,-,Reinvestor
ADANIPORTS,2016-03,+,-,-,Reinvestor
ADANIPORTS,2017-03,+,-,-,Reinvestor
ADANIPORTS,2018-03,+,-,-,Shareholder Returns
ADANIPORTS,2019-03,+,-,+,Mixed
ADANIPORTS,2020-03,+,-,+,Mixed
ADANIPORTS,2022-03,+,-,+,Mixed
ADANIPORTS,2023-03,+,-,-,Shareholder Returns
ADANIPORTS,2024-03,+,-,-,Shareholder Returns
ADANIPOWER,2011-03,+,-,-,Shareholder Returns
ADANIPOWER,2012-03,+,-,-,Shareholder Returns
ADANIPOWER,2013-03,+,-,-,Shareholder Returns
ADANIPOWER,2014-03,+,-,-,Shareholder Returns
ADANIPOWER,2015-03,+,-,-,Reinvestor
ADANIPOWER,2016-03,+,-,-,Shareholder Returns
ADANIPOWER,2017-03,+,-,-,Reinvestor
ADANIPOWER,2018-03,+,-,-,Shareholder Returns
ADANIPOWER,2019-03,+,-,+,Mixed
ADANIPOWER,2020-03,+,-,-,Shareholder Returns
ADANIPOWER,2021-03,+,-,-,Shareholder Returns
ADANIPOWER,2022-03,+,-,-,Shareholder Returns
ADANIPOWER,2023-03,+,-,-,Shareholder Returns
ADANIPOWER,2024-03,+,-,-,Shareholder Returns
APOLLOHOSP,2012-03,+,-,+,Mixed
APOLLOHOSP,2013-03,+,-,-,Shareholder Returns
APOLLOHOSP,2014-03,+,-,+,Mixed
APOLLOHOSP,2015-03,+,-,+,Mixed
APOLLOHOSP,2016-03,+,-,-,Shareholder Returns
APOLLOHOSP,2017-03,+,-,-,Shareholder Returns
APOLLOHOSP,2018-03,+,-,+,Mixed
APOLLOHOSP,2019-03,+,-,-,Shareholder Returns
APOLLOHOSP,2020-03,+,-,-,Shareholder Returns
APOLLOHOSP,2021-03,+,-,-,Shareholder Returns
APOLLOHOSP,2022-03,+,-,+,Mixed
APOLLOHOSP,2023-03,+,-,-,Shareholder Returns
APOLLOHOSP,2024-03,+,-,-,Shareholder Returns
ASIANPAINT,2012-03,+,-,-,Shareholder Returns
ASIANPAINT,2013-03,+,-,-,Shareholder Returns
ASIANPAINT,2014-03,+,-,+,Mixed
ASIANPAINT,2015-03,+,-,+,Mixed
ASIANPAINT,2016-03,+,-,-,Shareholder Returns
ASIANPAINT,2017-03,+,-,-,Reinvestor
ASIANPAINT,2018-03,+,-,-,Shareholder Returns
ASIANPAINT,2019-03,+,-,-,Shareholder Returns
ASIANPAINT,2020-03,+,-,-,Shareholder Returns
ASIANPAINT,2021-03,+,-,-,Shareholder Returns
ASIANPAINT,2022-03,+,-,-,Shareholder Returns
ASIANPAINT,2023-03,+,-,-,Shareholder Returns
ASIANPAINT,2024-03,+,-,-,Shareholder Returns
ATGL,2012-03,+,-,-,Reinvestor
ATGL,2013-03,+,-,+,Mixed
ATGL,2014-03,+,-,-,Shareholder Returns
ATGL,2016-03,+,-,-,Shareholder Returns
ATGL,2017-03,+,-,+,Mixed
ATGL,2018-03,+,-,-,Shareholder Returns
ATGL,2019-03,+,-,-,Shareholder Returns
ATGL,2020-03,+,-,-,Shareholder Returns
ATGL,2021-03,+,-,-,Shareholder Returns
ATGL,2022-03,+,-,-,Shareholder Returns
ATGL,2023-03,+,-,+,Mixed
ATGL,2024-03,+,-,+,Mixed
AXISBANK,2012-03,+,-,-,Shareholder Returns
AXISBANK,2013-03,+,-,-,Shareholder Returns
AXISBANK,2014-03,+,-,+,Mixed
AXISBANK,2015-03,+,-,-,Shareholder Returns
AXISBANK,2016-03,+,-,-,Shareholder Returns
AXISBANK,2017-03,+,-,-,Shareholder Returns
AXISBANK,2019-03,+,-,+,Mixed
AXISBANK,2020-03,+,-,-,Shareholder Returns
AXISBANK,2021-03,+,-,-,Shareholder Returns
AXISBANK,2022-03,+,-,-,Shareholder Returns
AXISBANK,2023-03,+,-,-,Shareholder Returns
AXISBANK,2024-03,+,-,-,Reinvestor
BAJAJ-AUTO,2012-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2013-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2014-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2015-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2016-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2017-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2018-03,+,-,-,Reinvestor
BAJAJ-AUTO,2019-03,+,-,+,Mixed
BAJAJ-AUTO,2020-03,+,-,-,Reinvestor
BAJAJ-AUTO,2021-03,+,-,+,Mixed
BAJAJ-AUTO,2022-03,+,-,+,Mixed
BAJAJ-AUTO,2023-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2024-03,+,-,-,Shareholder Returns
BAJAJFINSV,2012-03,+,-,-,Shareholder Returns
BAJAJFINSV,2013-03,+,-,-,Shareholder Returns
BAJAJFINSV,2014-03,+,-,+,Mixed
BAJAJFINSV,2015-03,+,-,-,Shareholder Returns
BAJAJFINSV,2016-03,+,-,-,Reinvestor
BAJAJFINSV,2017-03,+,-,-,Shareholder Returns
BAJAJFINSV,2018-03,+,-,-,Shareholder Returns
BAJAJFINSV,2019-03,+,-,-,Reinvestor
BAJAJFINSV,2020-03,+,-,-,Shareholder Returns
BAJAJFINSV,2021-03,+,-,+,Mixed
BAJAJFINSV,2022-03,+,-,+,Mixed
BAJAJFINSV,2023-03,+,-,-,Shareholder Returns
BAJAJFINSV,2024-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2011-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2013-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2014-03,+,-,+,Mixed
BAJAJHLDNG,2015-03,+,-,+,Mixed
BAJAJHLDNG,2016-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2017-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2019-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2020-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2021-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2022-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2023-03,+,-,+,Mixed
BAJAJHLDNG,2024-03,+,-,+,Mixed
BAJFINANCE,2011-03,+,-,-,Reinvestor
BAJFINANCE,2012-03,+,-,-,Shareholder Returns
BAJFINANCE,2013-03,+,-,-,Shareholder Returns
BAJFINANCE,2014-03,+,-,-,Shareholder Returns
BAJFINANCE,2015-03,+,-,-,Reinvestor
BAJFINANCE,2016-03,+,-,-,Shareholder Returns
BAJFINANCE,2017-03,+,-,-,Shareholder Returns
BAJFINANCE,2018-03,+,-,+,Mixed
BAJFINANCE,2019-03,+,-,+,Mixed
BAJFINANCE,2020-03,+,-,+,Mixed
BAJFINANCE,2021-03,+,-,-,Reinvestor
BAJFINANCE,2022-03,-,-,+,Growth Funded by Debt
BAJFINANCE,2023-03,+,-,-,Shareholder Returns
BAJFINANCE,2024-03,+,-,+,Mixed
BANDHANBNK,2010-03,+,-,-,Shareholder Returns
BANDHANBNK,2011-03,+,-,-,Shareholder Returns
BANDHANBNK,2012-03,+,-,-,Shareholder Returns
BANDHANBNK,2013-03,+,-,-,Shareholder Returns
BANDHANBNK,2014-03,+,-,-,Shareholder Returns
BANDHANBNK,2015-03,+,-,-,Shareholder Returns
BANDHANBNK,2016-03,+,-,-,Shareholder Returns
BANDHANBNK,2019-03,+,-,-,Shareholder Returns
BANDHANBNK,2020-03,+,-,-,Shareholder Returns
BANDHANBNK,2021-03,+,-,-,Reinvestor
BANDHANBNK,2023-03,+,-,-,Shareholder Returns
BANKBARODA,2011-03,+,-,+,Mixed
BANKBARODA,2012-03,+,-,-,Shareholder Returns
BANKBARODA,2013-03,+,-,+,Mixed
BANKBARODA,2014-03,+,-,-,Shareholder Returns
BANKBARODA,2015-03,+,-,+,Mixed
BANKBARODA,2016-03,+,-,-,Shareholder Returns
BANKBARODA,2018-03,+,-,-,Shareholder Returns
BANKBARODA,2019-03,+,-,-,Shareholder Returns
BANKBARODA,2020-03,+,-,+,Mixed
BANKBARODA,2021-03,+,-,-,Shareholder Returns
BANKBARODA,2022-03,+,-,+,Mixed
BANKBARODA,2023-03,+,-,-,Shareholder Returns
BANKBARODA,2024-03,+,-,-,Shareholder Returns
BERGEPAINT,2012-03,+,-,+,Mixed
BERGEPAINT,2013-03,+,-,-,Shareholder Returns
BERGEPAINT,2014-03,+,-,-,Shareholder Returns
BERGEPAINT,2015-03,+,-,+,Mixed
BERGEPAINT,2016-03,+,-,-,Shareholder Returns
BERGEPAINT,2017-03,+,-,-,Shareholder Returns
BERGEPAINT,2018-03,+,-,-,Reinvestor
BERGEPAINT,2019-03,+,-,-,Shareholder Returns
BERGEPAINT,2020-03,+,-,-,Shareholder Returns
BERGEPAINT,2021-03,+,-,-,Shareholder Returns
BERGEPAINT,2022-03,+,-,-,Shareholder Returns
BERGEPAINT,2023-03,+,-,-,Reinvestor
BERGEPAINT,2024-03,+,-,-,Shareholder Returns
BHARTIARTL,2010-03,+,-,-,Shareholder Returns
BHARTIARTL,2011-03,+,-,-,Shareholder Returns
BHARTIARTL,2012-03,+,-,-,Reinvestor
BHARTIARTL,2013-03,+,-,-,Shareholder Returns
BHARTIARTL,2014-03,+,-,-,Shareholder Returns
BHARTIARTL,2015-03,+,-,-,Shareholder Returns
BHARTIARTL,2016-03,+,-,-,Shareholder Returns
BHARTIARTL,2017-03,+,-,-,Shareholder Returns
BHARTIARTL,2018-03,+,-,-,Shareholder Returns
BHARTIARTL,2019-03,+,-,-,Shareholder Returns
BHARTIARTL,2020-03,+,-,+,Mixed
BHARTIARTL,2021-03,+,-,+,Mixed
BHARTIARTL,2022-03,+,-,-,Shareholder Returns
BHARTIARTL,2023-03,+,-,-,Shareholder Returns
BHARTIARTL,2024-03,+,-,-,Shareholder Returns
BIOCON,2010-03,+,-,-,Shareholder Returns
BIOCON,2011-03,+,-,-,Shareholder Returns
BIOCON,2012-03,+,-,-,Shareholder Returns
BIOCON,2013-03,+,-,+,Mixed
BIOCON,2015-03,+,-,-,Reinvestor
BIOCON,2016-03,+,-,-,Shareholder Returns
BIOCON,2017-03,+,-,-,Shareholder Returns
BIOCON,2019-03,+,-,-,Shareholder Returns
BIOCON,2020-03,+,-,+,Mixed
BIOCON,2022-03,+,-,-,Shareholder Returns
BIOCON,2023-03,+,-,-,Reinvestor
BIOCON,2024-03,+,-,-,Shareholder Returns
BOSCHLTD,2010-03,+,-,-,Shareholder Returns
BOSCHLTD,2012-03,+,-,-,Shareholder Returns
BOSCHLTD,2013-03,+,-,-,Reinvestor
BOSCHLTD,2014-03,+,-,-,Shareholder Returns
BOSCHLTD,2015-03,+,-,-,Shareholder Returns
BOSCHLTD,2017-03,+,-,-,Reinvestor
BOSCHLTD,2019-03,+,-,+,Mixed
BOSCHLTD,2020-03,+,-,-,Shareholder Returns
BOSCHLTD,2021-03,+,-,-,Reinvestor
BOSCHLTD,2022-03,+,-,+,Mixed
BOSCHLTD,2023-03,+,-,+,Mixed
BOSCHLTD,2024-03,+,-,-,Shareholder Returns
BPCL,2011-03,+,-,+,Mixed
BPCL,2012-03,+,-,-,Shareholder Returns
BPCL,2013-03,+,-,-,Shareholder Returns
BPCL,2014-03,+,-,+,Mixed
BPCL,2015-03,+,-,-,Shareholder Returns
BPCL,2016-03,+,-,-,Shareholder Returns
BPCL,2017-03,+,-,-,Shareholder Returns
BPCL,2018-03,+,-,-,Shareholder Returns
BPCL,2019-03,+,-,-,Shareholder Returns
BPCL,2020-03,+,-,-,Shareholder Returns
BPCL,2021-03,+,-,-,Shareholder Returns
BPCL,2022-03,+,-,-,Shareholder Returns
BPCL,2023-03,+,-,+,Mixed
BPCL,2024-03,+,-,-,Shareholder Returns
BRITANNIA,2013-03,+,-,+,Mixed
BRITANNIA,2014-03,+,-,+,Mixed
BRITANNIA,2015-03,+,-,-,Shareholder Returns
BRITANNIA,2017-03,+,-,-,Reinvestor
BRITANNIA,2018-03,+,-,-,Shareholder Returns
BRITANNIA,2020-03,+,-,-,Shareholder Returns
BRITANNIA,2021-03,+,-,+,Mixed
BRITANNIA,2022-03,+,-,-,Shareholder Returns
BRITANNIA,2023-03,+,-,-,Shareholder Returns
BRITANNIA,2024-03,+,-,-,Reinvestor
CANBK,2013-03,+,-,-,Shareholder Returns
CANBK,2014-03,+,-,-,Shareholder Returns
CANBK,2015-03,+,-,+,Mixed
CANBK,2016-03,+,-,-,Shareholder Returns
CANBK,2017-03,+,-,-,Shareholder Returns
CANBK,2018-03,+,-,+,Mixed
CANBK,2019-03,+,-,-,Shareholder Returns
CANBK,2021-03,+,-,-,Shareholder Returns
CANBK,2022-03,+,-,-,Shareholder Returns
CANBK,2023-03,+,-,+,Mixed
CANBK,2024-03,+,-,-,Reinvestor
CHOLAFIN,2013-03,+,-,-,Shareholder Returns
CHOLAFIN,2014-03,+,-,-,Reinvestor
CHOLAFIN,2015-03,+,-,-,Shareholder Returns
CHOLAFIN,2016-03,+,-,-,Shareholder Returns
CHOLAFIN,2017-03,+,-,-,Shareholder Returns
CHOLAFIN,2018-03,+,-,-,Shareholder Returns
CHOLAFIN,2019-03,+,-,-,Shareholder Returns
CHOLAFIN,2020-03,+,-,-,Shareholder Returns
CHOLAFIN,2021-03,+,-,-,Shareholder Returns
CHOLAFIN,2022-03,+,-,+,Mixed
CHOLAFIN,2023-03,+,-,-,Shareholder Returns
CHOLAFIN,2024-03,+,-,-,Shareholder Returns
CIPLA,2011-03,+,-,-,Shareholder Returns
CIPLA,2012-03,+,-,-,Shareholder Returns
CIPLA,2013-03,+,-,-,Shareholder Returns
CIPLA,2014-03,+,-,-,Shareholder Returns
CIPLA,2015-03,+,-,-,Shareholder Returns
CIPLA,2016-03,+,-,-,Reinvestor
CIPLA,2017-03,+,-,+,Mixed
CIPLA,2018-03,+,-,-,Shareholder Returns
CIPLA,2019-03,+,-,-,Shareholder Returns
CIPLA,2020-03,+,-,-,Reinvestor
CIPLA,2021-03,+,-,-,Shareholder Returns
CIPLA,2022-03,+,-,-,Shareholder Returns
CIPLA,2023-03,+,-,-,Reinvestor
CIPLA,2024-03,+,-,-,Shareholder Returns
COALINDIA,2010-03,+,-,-,Shareholder Returns
COALINDIA,2011-03,+,-,-,Shareholder Returns
COALINDIA,2013-03,+,-,+,Mixed
COALINDIA,2014-03,+,-,-,Shareholder Returns
COALINDIA,2015-03,+,-,-,Shareholder Returns
COALINDIA,2016-03,+,-,-,Shareholder Returns
COALINDIA,2017-03,+,-,+,Mixed
COALINDIA,2018-03,+,-,-,Shareholder Returns
COALINDIA,2019-03,+,-,+,Mixed
COALINDIA,2020-03,+,-,+,Mixed
COALINDIA,2021-03,+,-,-,Shareholder Returns
COALINDIA,2022-03,+,-,-,Shareholder Returns
COALINDIA,2023-03,+,-,+,Mixed
COALINDIA,2024-03,+,-,-,Shareholder Returns
COLPAL,2012-03,+,-,-,Shareholder Returns
COLPAL,2013-03,+,-,-,Shareholder Returns
COLPAL,2014-03,+,-,-,Shareholder Returns
COLPAL,2015-03,+,-,-,Shareholder Returns
COLPAL,2016-03,+,-,-,Reinvestor
COLPAL,2017-03,+,-,+,Mixed
COLPAL,2018-03,+,-,-,Shareholder Returns
COLPAL,2019-03,+,-,-,Shareholder Returns
COLPAL,2020-03,+,-,-,Shareholder Returns
COLPAL,2021-03,+,-,-,Shareholder Returns
COLPAL,2022-03,+,-,-,Shareholder Returns
COLPAL,2023-03,+,-,-,Shareholder Returns
COLPAL,2024-03,+,-,-,Shareholder Returns
DABUR,2011-03,+,-,-,Shareholder Returns
DABUR,2012-03,+,-,-,Shareholder Returns
DABUR,2013-03,+,-,+,Mixed
DABUR,2014-03,+,-,-,Shareholder Returns
DABUR,2015-03,+,-,-,Shareholder Returns
DABUR,2016-03,+,-,-,Shareholder Returns
DABUR,2017-03,+,-,+,Mixed
DABUR,2018-03,+,-,-,Shareholder Returns
DABUR,2019-03,+,-,-,Reinvestor
DABUR,2020-03,+,-,+,Mixed
DABUR,2021-03,+,-,-,Shareholder Returns
DABUR,2022-03,+,-,-,Shareholder Returns
DABUR,2024-03,+,-,+,Mixed
DIVISLAB,2010-03,+,-,-,Shareholder Returns
DIVISLAB,2011-03,+,-,-,Shareholder Returns
DIVISLAB,2012-03,+,-,-,Shareholder Returns
DIVISLAB,2014-03,+,-,-,Shareholder Returns
DIVISLAB,2015-03,+,-,-,Reinvestor
DIVISLAB,2016-03,+,-,-,Reinvestor
DIVISLAB,2017-03,+,-,+,Mixed
DIVISLAB,2018-03,+,-,-,Shareholder Returns
DIVISLAB,2019-03,+,-,-,Shareholder Returns
DIVISLAB,2020-03,+,-,-,Reinvestor
DIVISLAB,2021-03,+,-,-,Shareholder Returns
DIVISLAB,2023-03,+,-,+,Mixed
DIVISLAB,2024-03,+,-,+,Mixed
DLF,2013-03,+,-,-,Shareholder Returns
DLF,2014-03,+,-,-,Shareholder Returns
DLF,2015-03,+,-,-,Shareholder Returns
DLF,2016-03,+,-,-,Shareholder Returns
DLF,2018-03,+,-,-,Shareholder Returns
DLF,2019-03,+,-,-,Shareholder Returns
DLF,2020-03,+,-,-,Shareholder Returns
DLF,2021-03,+,-,-,Shareholder Returns
DLF,2024-03,+,-,-,Shareholder Returns
DMART,2012-03,+,-,-,Reinvestor
DMART,2013-03,+,-,+,Mixed
DMART,2014-03,+,-,-,Shareholder Returns
DMART,2016-03,+,-,-,Shareholder Returns
DMART,2017-03,+,-,-,Shareholder Returns
DMART,2018-03,+,-,-,Shareholder Returns
DMART,2019-03,+,-,-,Shareholder Returns
DMART,2020-03,+,-,-,Shareholder Returns
DMART,2021-03,+,-,-,Shareholder Returns
DMART,2023-03,+,-,-,Shareholder Returns
DMART,2024-03,+,-,-,Shareholder Returns
DRREDDY,2011-03,+,-,+,Mixed
DRREDDY,2012-03,+,-,-,Shareholder Returns
DRREDDY,2013-03,+,-,-,Shareholder Returns
DRREDDY,2014-03,+,-,-,Reinvestor
DRREDDY,2015-03,+,-,-,Shareholder Returns
DRREDDY,2016-03,+,-,-,Shareholder Returns
DRREDDY,2017-03,+,-,-,Shareholder Returns
DRREDDY,2018-03,+,-,+,Mixed
DRREDDY,2019-03,+,-,-,Shareholder Returns
DRREDDY,2020-03,+,-,+,Mixed
DRREDDY,2021-03,+,-,+,Mixed
DRREDDY,2022-03,+,-,-,Shareholder Returns
DRREDDY,2023-03,+,-,-,Shareholder Returns
DRREDDY,2024-03,+,-,+,Mixed
EICHERMOT,2011-03,+,-,-,Shareholder Returns
EICHERMOT,2012-03,+,-,-,Shareholder Returns
EICHERMOT,2013-03,+,-,-,Shareholder Returns
EICHERMOT,2014-03,+,-,-,Shareholder Returns
EICHERMOT,2015-03,+,-,-,Shareholder Returns
EICHERMOT,2016-03,+,-,-,Shareholder Returns
EICHERMOT,2017-03,+,-,-,Shareholder Returns
EICHERMOT,2018-03,+,-,-,Shareholder Returns
EICHERMOT,2019-03,+,-,-,Shareholder Returns
EICHERMOT,2020-03,+,-,-,Shareholder Returns
EICHERMOT,2021-03,+,-,-,Shareholder Returns
EICHERMOT,2022-03,+,-,+,Mixed
EICHERMOT,2023-03,+,-,+,Mixed
EICHERMOT,2024-03,+,-,-,Reinvestor
GAIL,2011-03,+,-,+,Mixed
GAIL,2012-03,+,-,+,Mixed
GAIL,2013-03,+,-,+,Mixed
GAIL,2014-03,+,-,-,Shareholder Returns
GAIL,2015-03,+,-,-,Shareholder Returns
GAIL,2016-03,+,-,+,Mixed
GAIL,2017-03,+,-,-,Shareholder Returns
GAIL,2018-03,+,-,-,Reinvestor
GAIL,2019-03,+,-,-,Reinvestor
GAIL,2020-03,+,-,-,Shareholder Returns
GAIL,2021-03,+,-,-,Shareholder Returns
GAIL,2022-03,+,-,-,Shareholder Returns
GAIL,2023-03,+,-,-,Shareholder Returns
GAIL,2024-03,+,-,-,Shareholder Returns
GODREJCP,2013-03,+,-,-,Shareholder Returns
GODREJCP,2014-03,+,-,+,Mixed
GODREJCP,2015-03,+,-,-,Reinvestor
GODREJCP,2016-03,+,-,-,Shareholder Returns
GODREJCP,2018-03,+,-,-,Shareholder Returns
GODREJCP,2019-03,+,-,-,Shareholder Returns
GODREJCP,2020-03,+,-,-,Shareholder Returns
GODREJCP,2021-03,+,-,-,Shareholder Returns
GODREJCP,2022-03,+,-,+,Mixed
GODREJCP,2024-03,+,-,-,Shareholder Returns
GRASIM,2011-03,+,-,-,Shareholder Returns
GRASIM,2012-03,+,-,-,Reinvestor
GRASIM,2013-03,+,-,+,Mixed
GRASIM,2014-03,+,-,+,Mixed
GRASIM,2015-03,+,-,-,Shareholder Returns
GRASIM,2016-03,+,-,-,Reinvestor
GRASIM,2017-03,+,-,-,Shareholder Returns
GRASIM,2018-03,+,-,-,Shareholder Returns
GRASIM,2019-03,+,-,-,Shareholder Returns
GRASIM,2020-03,+,-,-,Shareholder Returns
GRASIM,2021-03,+,-,-,Shareholder Returns
GRASIM,2022-03,+,-,-,Shareholder Returns
GRASIM,2023-03,+,-,+,Mixed
GRASIM,2024-03,+,-,-,Shareholder Returns
HAVELLS,2011-03,+,-,-,Reinvestor
