cluster_id,cluster_name,statistic,count,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct
0,Emerging Growth,mean,34,17.446,0.386,15.699,14.088,24.058
1,Distressed / Turnaround,mean,4,0.299,2.414,9.862,16.645,9.517
2,Value Cyclicals,mean,29,18.899,1.531,14.768,10.655,13.326
3,High-Quality Compounders,mean,18,19.886,0.499,6.848,6.622,26.723
4,Defensive Dividend Payers,mean,7,16.844,0.393,14.182,89.722,22.156
0,Emerging Growth,median,34,15.935,0.309,15.038,14.582,23.414
1,Distressed / Turnaround,median,4,0.183,1.952,7.822,10.504,9.657
2,Value Cyclicals,median,29,17.773,1.535,14.718,10.219,13.831
3,High-Quality Compounders,median,18,19.041,0.536,6.298,4.292,27.675
4,Defensive Dividend Payers,median,7,17.145,0.387,12.286,83.314,19.162
