id,table_name,rows_in,rows_out,rows_rejected,runtime_s,status,loaded_at
12,stock_prices,5520,5520,0,0.659,OK,2026-09-18T11:14:19Z
11,financial_ratios,1184,1184,0,0.193,OK,2026-09-18T11:14:19Z
10,cashflow,1182,1182,0,0.114,OK,2026-09-18T11:14:19Z
9,balancesheet,1284,1284,0,0.174,OK,2026-09-18T11:14:19Z
8,profitandloss,1262,1262,0,0.188,OK,2026-09-18T11:14:19Z
7,market_cap,552,552,0,0.069,OK,2026-09-18T11:14:19Z
6,documents,1585,1585,0,0.137,OK,2026-09-18T11:14:19Z
5,prosandcons,16,16,0,0.014,OK,2026-09-18T11:14:19Z
4,peer_groups,56,56,0,0.018,OK,2026-09-18T11:14:19Z
3,analysis,20,20,0,0.014,OK,2026-09-18T11:14:19Z
2,sectors,92,92,0,0.023,OK,2026-09-18T11:14:19Z
1,companies,92,92,0,0.032,OK,2026-09-18T11:14:19Z
