metric,metric_label,count,p10,p25,p50,p75,p90,mean,std,min,max
return_on_equity_pct,ROE (%),92,12.5606,14.8837,17.2512,20.6899,24.4515,17.59,6.0167,-3.4257,31.5577
roce_pct,ROCE (%),92,8.5629,12.3516,16.2671,20.5352,23.8507,16.5164,6.3351,4.4229,38.2214
debt_to_equity,Debt / Equity,92,0.2058,0.3024,0.5647,1.2282,2.019,0.8575,0.7861,0.0119,4.1832
revenue_cagr_5yr,Revenue CAGR 5yr (%),92,6.2971,9.9574,13.2445,17.0769,19.0791,13.3045,5.0243,3.3836,25.8399
pat_cagr_5yr,PAT CAGR 5yr (%),90,-7.9345,2.9922,13.3752,27.7443,39.2027,17.0055,31.2904,-45.6599,238.4512
operating_profit_margin_pct,OPM (%),92,10.4316,14.965,20.0857,26.8472,30.0262,20.4198,7.1603,8.3661,34.3503
net_profit_margin_pct,NPM (%),92,4.0595,6.6556,10.9752,15.9861,19.6506,11.3979,5.9134,-0.6851,22.6877
dividend_payout_ratio_pct,Div Payout (%),92,14.703,25.0575,40.895,52.05,61.465,39.1214,17.1568,0.0,69.33
pe_ratio,P/E Ratio,92,11.344,16.51,24.995,33.71,38.833,24.9603,10.2558,8.11,44.06
pb_ratio,P/B Ratio,92,1.826,3.235,6.32,9.3475,11.027,6.3234,3.3315,0.82,11.98
